Date,Open,High,Low,Close,Adj Close,Volume
2018-03-09,270.000000,276.000000,252.100006,267.750000,266.629517,15776490
2018-03-12,267.899994,271.000000,261.700012,268.200012,267.077637,1278682
2018-03-13,267.100006,277.200012,264.000000,272.000000,270.861725,1262968
2018-03-14,271.500000,277.100006,270.500000,272.100006,270.961304,477332
2018-03-15,274.950012,293.700012,272.149994,288.250000,287.043732,2210265
2018-03-16,292.100006,304.000000,291.000000,296.350006,295.109863,1339569
2018-03-19,302.000000,311.000000,298.149994,300.750000,299.491425,565161
2018-03-20,300.899994,305.000000,296.950012,297.049988,295.806885,247595
2018-03-21,300.799988,304.000000,297.000000,297.350006,296.105652,282172
2018-03-22,301.899994,301.899994,291.100006,295.399994,294.163818,234442
2018-03-23,291.649994,294.799988,276.649994,292.200012,290.977203,195670
2018-03-26,293.250000,299.649994,292.549988,296.500000,295.259216,136812
2018-03-27,298.750000,301.000000,296.000000,296.649994,295.408569,84581
2018-03-28,296.450012,303.000000,295.000000,300.500000,299.242462,283595
2018-04-02,304.350006,307.049988,301.500000,303.600006,302.329498,78989
2018-04-03,304.000000,304.600006,300.600006,301.950012,300.686401,59151
2018-04-04,302.750000,304.000000,300.000000,300.149994,298.893921,122914
2018-04-05,301.000000,332.000000,298.000000,320.450012,319.108978,622573
2018-04-06,320.000000,334.000000,316.649994,321.799988,320.453308,202562
2018-04-09,323.000000,346.450012,323.000000,332.000000,330.610626,330216
2018-04-10,333.000000,346.899994,333.000000,341.600006,340.170471,322857
2018-04-11,350.000000,350.000000,339.549988,341.299988,339.871735,151072
2018-04-12,342.600006,346.250000,337.500000,338.200012,336.784698,130852
2018-04-13,339.899994,344.649994,337.000000,339.200012,337.780518,189580
2018-04-16,335.200012,340.000000,333.149994,335.000000,333.598083,52196
2018-04-17,336.299988,338.450012,333.950012,335.799988,334.394714,37755
2018-04-18,339.500000,339.500000,333.899994,335.149994,333.747467,52240
2018-04-19,336.049988,337.049988,333.100006,335.200012,333.797272,36502
2018-04-20,335.200012,337.049988,330.450012,333.200012,331.805634,38673
2018-04-23,334.000000,355.000000,334.000000,341.950012,340.519012,100266
2018-04-24,342.450012,348.100006,341.000000,342.049988,340.618561,194951
2018-04-25,343.000000,344.549988,335.100006,336.950012,335.539948,62927
2018-04-26,336.000000,339.000000,335.000000,335.600006,334.195587,37971
2018-04-27,335.799988,338.049988,333.649994,336.350006,334.942444,35138
2018-04-30,337.950012,338.049988,330.500000,335.950012,334.544128,45076
2018-05-02,336.799988,338.850006,333.350006,334.549988,333.149963,23703
2018-05-03,333.450012,350.000000,333.450012,334.649994,333.249573,18365
2018-05-04,334.750000,336.649994,334.149994,334.700012,333.299347,10790
2018-05-07,331.100006,336.350006,330.000000,333.299988,331.905212,60270
2018-05-08,333.950012,335.000000,325.600006,328.700012,327.324463,57708
2018-05-09,328.100006,333.799988,328.100006,332.500000,331.108551,30912
2018-05-10,330.750000,336.000000,330.750000,331.799988,330.411469,28188
2018-05-11,332.600006,333.700012,330.100006,331.049988,329.664612,47930
2018-05-14,331.100006,332.500000,329.399994,330.100006,328.718597,15952
2018-05-15,331.000000,332.500000,327.000000,328.399994,327.025726,54091
2018-05-16,328.750000,331.000000,326.450012,329.750000,328.370056,28616
2018-05-17,330.000000,331.000000,327.549988,329.200012,327.822388,22827
2018-05-18,329.500000,331.000000,328.149994,329.149994,327.772552,12637
2018-05-21,326.250000,330.750000,325.649994,327.399994,326.029877,33973
2018-05-22,325.600006,330.350006,325.600006,327.750000,326.378418,9861
2018-05-23,329.049988,330.000000,326.000000,327.100006,325.731140,71450
2018-05-24,337.700012,347.000000,326.000000,329.200012,327.822388,83076
2018-05-25,330.000000,340.000000,326.100006,329.950012,328.569214,118078
2018-05-28,331.899994,335.000000,330.149994,331.350006,329.963379,28634
2018-05-29,332.100006,333.350006,329.500000,330.399994,329.017334,16517
2018-05-30,331.549988,332.250000,323.600006,329.049988,327.672974,16751
2018-05-31,331.850006,333.000000,325.000000,326.799988,325.432373,45515
2018-06-01,330.799988,330.799988,315.000000,318.899994,317.565460,439011
2018-06-04,322.899994,333.000000,291.500000,296.149994,294.910645,142839
2018-06-05,297.000000,299.799988,291.500000,295.200012,293.964661,110733
2018-06-06,295.049988,296.649994,287.049988,292.549988,291.325745,72698
2018-06-07,291.000000,303.450012,275.000000,298.500000,297.250854,290019
2018-06-08,298.000000,308.500000,293.149994,302.250000,300.985138,102707
2018-06-11,301.700012,313.299988,300.049988,309.799988,308.503540,121481
2018-06-12,311.450012,311.450012,304.950012,307.850006,306.561707,20828
2018-06-13,306.549988,307.799988,303.799988,304.750000,303.474701,59303
2018-06-14,303.850006,305.549988,299.350006,299.850006,298.595184,27334
2018-06-15,299.500000,304.350006,299.500000,302.850006,301.582642,29588
2018-06-18,301.799988,302.000000,294.100006,296.600006,295.358795,21718
2018-06-19,295.000000,296.350006,286.049988,290.000000,288.786407,104641
2018-06-20,289.000000,292.450012,282.299988,284.549988,283.359222,571454
2018-06-21,286.000000,288.000000,274.100006,278.850006,277.683075,71905
2018-06-22,280.750000,280.750000,265.049988,273.750000,272.604401,68021
2018-06-25,277.950012,278.950012,263.299988,268.899994,267.774719,59087
2018-06-26,272.000000,272.049988,253.949997,256.700012,255.625778,101659
2018-06-27,257.950012,261.950012,237.300003,242.350006,241.335831,137160
2018-06-28,240.550003,243.000000,233.000000,234.949997,233.966782,114881
2018-06-29,236.600006,239.000000,230.600006,233.550003,232.572632,169108
2018-07-02,233.750000,236.750000,232.800003,235.899994,234.912811,164769
2018-07-03,236.000000,263.549988,236.000000,249.750000,248.704849,186226
2018-07-04,250.100006,253.000000,248.649994,251.949997,250.895630,311740
2018-07-05,251.000000,258.600006,251.000000,256.899994,255.824921,146595
2018-07-06,255.350006,261.149994,255.000000,260.000000,258.911926,129502
2018-07-09,260.549988,264.299988,260.000000,263.850006,262.745850,135527
2018-07-10,263.950012,271.350006,263.000000,270.850006,269.716553,106869
2018-07-11,269.899994,276.250000,269.149994,275.600006,274.446655,94535
2018-07-12,276.000000,277.799988,272.500000,273.299988,272.156281,131767
2018-07-13,276.100006,277.250000,269.100006,271.450012,270.314056,115215
2018-07-16,271.000000,271.700012,266.000000,269.799988,268.670929,122895
2018-07-17,268.000000,271.000000,264.399994,267.299988,266.181396,58540
2018-07-18,267.100006,269.000000,252.399994,256.799988,255.725342,82343
2018-07-19,257.000000,261.899994,253.199997,254.699997,253.634125,94045
2018-07-20,253.500000,255.850006,249.899994,251.949997,250.895630,59116
2018-07-23,251.850006,265.950012,251.850006,261.950012,260.853790,55964
2018-07-24,262.000000,264.049988,257.000000,257.899994,256.820740,91109
2018-07-25,257.000000,263.000000,257.000000,260.100006,259.011536,79915
2018-07-26,260.799988,262.000000,255.399994,256.950012,255.874725,39340
2018-07-27,257.500000,259.850006,242.000000,248.800003,247.758835,63981
2018-07-30,248.750000,252.899994,247.000000,248.149994,247.111526,114807
2018-07-31,252.149994,254.350006,246.949997,248.000000,246.962158,268939
2018-08-01,249.600006,249.800003,244.500000,245.750000,244.721588,42798
2018-08-02,246.100006,246.500000,239.500000,240.050003,239.045441,63119
2018-08-03,241.550003,242.000000,233.000000,234.300003,233.319504,41940
2018-08-06,236.000000,238.000000,234.000000,234.800003,233.817413,40101
2018-08-07,237.100006,239.899994,233.050003,233.949997,232.970963,54697
2018-08-08,236.000000,241.000000,234.399994,239.350006,238.348373,71127
2018-08-09,240.399994,246.300003,239.899994,244.500000,243.476822,49949
2018-08-10,246.550003,250.000000,241.949997,243.850006,242.829544,78376
2018-08-13,244.699997,246.250000,238.000000,238.850006,237.850464,33139
2018-08-14,240.100006,243.000000,237.399994,238.100006,237.103607,46506
2018-08-16,238.500000,240.000000,234.300003,236.600006,235.609879,35829
2018-08-17,237.000000,241.750000,236.000000,239.600006,238.597321,57079
2018-08-20,240.750000,247.000000,240.750000,244.399994,243.377228,22575
2018-08-21,244.850006,244.899994,236.949997,239.899994,238.896057,73529
2018-08-23,240.100006,240.100006,236.000000,237.250000,236.257156,50126
2018-08-24,238.550003,243.100006,236.399994,237.800003,236.804855,30656
2018-08-27,238.600006,240.899994,236.600006,237.399994,236.406525,20996
2018-08-28,240.000000,241.300003,237.000000,238.100006,237.103607,39635
2018-08-29,238.600006,242.000000,233.500000,233.850006,232.871399,34556
